number,value,datetime_start,datetime_complete,duration,params_out_of_final_third_threshold,params_pass_reception_threshold,params_possession_threshold,params_zone_r,state
149,7.28125,2023-06-19 22:44:24.901948,2023-06-19 22:46:40.594321,0 days 00:02:15.692373,125,2,123,2.2251457844803246,COMPLETE
150,7.375,2023-06-19 22:44:27.205115,2023-06-19 22:46:33.682145,0 days 00:02:06.477030,213,2,125,2.1644034218804564,COMPLETE
151,7.487500000000001,2023-06-19 22:44:27.441841,2023-06-19 22:46:43.265342,0 days 00:02:15.823501,213,46,123,2.170900064118072,COMPLETE
152,7.4625,2023-06-19 22:44:34.280111,2023-06-19 22:46:47.089651,0 days 00:02:12.809540,192,3,125,2.405104948365206,COMPLETE
153,7.45,2023-06-19 22:44:34.332934,2023-06-19 22:46:43.360824,0 days 00:02:09.027890,193,2,118,2.5548907671982257,COMPLETE
154,7.49375,2023-06-19 22:44:45.453809,2023-06-19 22:46:52.769229,0 days 00:02:07.315420,152,46,120,2.172881296821078,COMPLETE
155,7.45625,2023-06-19 22:44:50.483887,2023-06-19 22:46:55.240650,0 days 00:02:04.756763,191,2,119,2.553498762370374,COMPLETE
156,7.575,2023-06-19 22:46:07.980395,2023-06-19 22:48:22.134368,0 days 00:02:14.153973,152,96,118,2.54575088638631,COMPLETE
157,7.4,2023-06-19 22:46:12.016405,2023-06-19 22:48:18.315384,0 days 00:02:06.298979,152,2,118,2.541450128137586,COMPLETE
158,7.4,2023-06-19 22:46:17.240061,2023-06-19 22:48:23.147213,0 days 00:02:05.907152,152,2,118,2.434384241389654,COMPLETE
159,7.39375,2023-06-19 22:46:23.746663,2023-06-19 22:48:21.387023,0 days 00:01:57.640360,191,2,117,2.412507468524134,COMPLETE
160,7.39375,2023-06-19 22:46:34.457887,2023-06-19 22:48:43.801285,0 days 00:02:09.343398,190,2,117,2.546368184616824,COMPLETE
161,7.39375,2023-06-19 22:46:39.493387,2023-06-19 22:48:47.430378,0 days 00:02:07.936991,192,2,117,2.414440354208436,COMPLETE
162,7.45,2023-06-19 22:46:41.670903,2023-06-19 22:48:55.887688,0 days 00:02:14.216785,190,2,118,2.4099919511953365,COMPLETE
163,7.450000000000001,2023-06-19 22:46:43.443356,2023-06-19 22:48:50.454544,0 days 00:02:07.011188,151,0,119,2.369567801204351,COMPLETE
164,7.4750000000000005,2023-06-19 22:46:44.515784,2023-06-19 22:48:53.576347,0 days 00:02:09.060563,193,3,120,2.4063337602387422,COMPLETE
165,7.3687499999999995,2023-06-19 22:46:47.319275,2023-06-19 22:48:54.406618,0 days 00:02:07.087343,153,1,120,2.4397454725892667,COMPLETE
166,7.76875,2023-06-19 22:46:54.665469,2023-06-19 22:49:01.137455,0 days 00:02:06.471986,79,3,117,2.4164281036474335,COMPLETE
167,7.231249999999999,2023-06-19 22:46:57.497822,2023-06-19 22:49:05.030496,0 days 00:02:07.532674,121,0,117,2.4333067052319812,COMPLETE
168,7.481249999999999,2023-06-19 22:48:19.106324,2023-06-19 22:50:16.804568,0 days 00:01:57.698244,183,0,110,2.428748976055446,COMPLETE
169,7.325,2023-06-19 22:48:22.082154,2023-06-19 22:50:28.283641,0 days 00:02:06.201487,130,8,111,2.4142299781391428,COMPLETE
170,7.33125,2023-06-19 22:48:24.719460,2023-06-19 22:50:24.603237,0 days 00:01:59.883777,124,8,113,2.3740900592838363,COMPLETE
171,7.50625,2023-06-19 22:48:25.318105,2023-06-19 22:50:31.056648,0 days 00:02:05.738543,96,8,113,2.0822482025918037,COMPLETE
172,7.3125,2023-06-19 22:48:46.035993,2023-06-19 22:50:47.466933,0 days 00:02:01.430940,128,8,110,2.3876151701031767,COMPLETE
173,7.76875,2023-06-19 22:48:49.457706,2023-06-19 22:50:51.275772,0 days 00:02:01.818066,82,5,113,2.4683182800460455,COMPLETE
174,7.137500000000001,2023-06-19 22:48:50.658066,2023-06-19 22:50:54.706235,0 days 00:02:04.048169,120,5,113,2.4458700309208887,COMPLETE
175,7.2625,2023-06-19 22:48:54.464351,2023-06-19 22:51:01.116313,0 days 00:02:06.651962,119,8,113,2.4713889838642618,COMPLETE
176,7.13125,2023-06-19 22:48:55.786129,2023-06-19 22:51:09.010015,0 days 00:02:13.223886,120,8,114,2.024302795183998,COMPLETE
177,7.268750000000001,2023-06-19 22:48:56.555800,2023-06-19 22:51:03.538264,0 days 00:02:06.982464,125,8,113,2.0516790348609613,COMPLETE
178,7.3625,2023-06-19 22:49:01.877990,2023-06-19 22:51:10.147728,0 days 00:02:08.269738,128,8,113,2.4797271502458837,COMPLETE
179,7.299999999999999,2023-06-19 22:49:05.917070,2023-06-19 22:51:13.601827,0 days 00:02:07.684757,115,8,113,2.077664436113206,COMPLETE
180,7.50625,2023-06-19 22:50:19.829970,2023-06-19 22:52:27.220137,0 days 00:02:07.390167,96,8,113,2.0875781728660296,COMPLETE
181,7.45,2023-06-19 22:50:27.182673,2023-06-19 22:52:38.789429,0 days 00:02:11.606756,117,8,113,2.5235065030527477,COMPLETE
182,7.13125,2023-06-19 22:50:28.963172,2023-06-19 22:52:36.106345,0 days 00:02:07.143173,121,5,114,2.0962855874536395,COMPLETE
183,7.231250000000001,2023-06-19 22:50:32.037607,2023-06-19 22:52:37.341975,0 days 00:02:05.304368,116,5,114,2.5062640036241377,COMPLETE
184,7.64375,2023-06-19 22:50:49.175624,2023-06-19 22:52:49.161577,0 days 00:01:59.985953,81,5,115,2.4895444435683154,COMPLETE
185,7.356250000000001,2023-06-19 22:50:52.857444,2023-06-19 22:52:56.317123,0 days 00:02:03.459679,115,5,114,2.774017967852487,COMPLETE
186,7.54375,2023-06-19 22:50:56.364694,2023-06-19 22:53:07.767456,0 days 00:02:11.402762,99,8,115,2.7697740174089778,COMPLETE
187,7.2875,2023-06-19 22:51:03.611720,2023-06-19 22:53:02.006350,0 days 00:01:58.394630,116,7,114,2.0065782408703963,COMPLETE
188,7.29375,2023-06-19 22:51:04.671225,2023-06-19 22:53:08.403916,0 days 00:02:03.732691,116,6,114,2.0611758540012195,COMPLETE
189,7.325,2023-06-19 22:51:09.331293,2023-06-19 22:53:15.132367,0 days 00:02:05.801074,115,5,114,2.076361055805507,COMPLETE
190,7.3875,2023-06-19 22:51:10.772535,2023-06-19 22:53:17.903796,0 days 00:02:07.131261,105,5,114,1.9472392656825,COMPLETE
191,7.231249999999999,2023-06-19 22:51:15.177476,2023-06-19 22:53:18.058044,0 days 00:02:02.880568,115,14,110,2.003970868405991,COMPLETE
192,7.16875,2023-06-19 22:52:28.675305,2023-06-19 22:54:34.808531,0 days 00:02:06.133226,120,5,115,1.942994319909003,COMPLETE
193,7.1625,2023-06-19 22:52:37.752347,2023-06-19 22:54:46.197873,0 days 00:02:08.445526,117,5,110,1.9099017925884496,COMPLETE
194,7.61875,2023-06-19 22:52:38.942163,2023-06-19 22:54:44.883546,0 days 00:02:05.941383,84,5,109,1.9832395226044213,COMPLETE
195,7.1625,2023-06-19 22:52:39.973665,2023-06-19 22:54:42.198656,0 days 00:02:02.224991,117,5,110,1.909360773596017,COMPLETE
196,7.2875,2023-06-19 22:52:50.997222,2023-06-19 22:54:59.791941,0 days 00:02:08.794719,113,5,111,2.006201611975188,COMPLETE
197,7.3187500000000005,2023-06-19 22:52:57.302622,2023-06-19 22:55:05.794654,0 days 00:02:08.492032,106,13,110,1.9880713463546051,COMPLETE
198,7.456250000000001,2023-06-19 22:53:03.448301,2023-06-19 22:55:03.632504,0 days 00:02:00.184203,106,14,109,1.8760669372631682,COMPLETE
199,7.41875,2023-06-19 22:53:09.299573,2023-06-19 22:55:20.750964,0 days 00:02:11.451391,105,13,109,1.9250782316825383,COMPLETE
200,7.456250000000001,2023-06-19 22:53:10.270332,2023-06-19 22:55:22.635727,0 days 00:02:12.365395,106,14,109,1.9641195058858176,COMPLETE
201,7.4375,2023-06-19 22:53:15.946224,2023-06-19 22:55:19.653537,0 days 00:02:03.707313,104,13,109,1.914607082069333,COMPLETE
202,7.19375,2023-06-19 22:53:18.809120,2023-06-19 22:55:18.105859,0 days 00:01:59.296739,133,14,110,1.8886747513696067,COMPLETE
203,7.4125,2023-06-19 22:53:19.124008,2023-06-19 22:55:22.731853,0 days 00:02:03.607845,124,13,82,1.9437882807548856,COMPLETE
204,7.25,2023-06-19 22:54:35.794574,2023-06-19 22:56:41.124727,0 days 00:02:05.330153,132,13,109,1.9970312179459602,COMPLETE
205,7.325,2023-06-19 22:54:43.612863,2023-06-19 22:56:48.354463,0 days 00:02:04.741600,105,13,110,1.905934275524135,COMPLETE
206,7.625,2023-06-19 22:54:45.628776,2023-06-19 22:56:34.446490,0 days 00:01:48.817714,102,37,104,1.9073543093859562,COMPLETE
207,7.4437500000000005,2023-06-19 22:54:46.979039,2023-06-19 22:56:57.358073,0 days 00:02:10.379034,102,14,109,1.9371183285537827,COMPLETE
208,7.2875,2023-06-19 22:55:00.401240,2023-06-19 22:57:03.075355,0 days 00:02:02.674115,103,13,105,1.8888729107758826,COMPLETE
209,7.13125,2023-06-19 22:55:03.989429,2023-06-19 22:57:10.226866,0 days 00:02:06.237437,134,12,105,1.9054893829181558,COMPLETE
210,7.15,2023-06-19 22:55:07.559895,2023-06-19 22:57:09.661379,0 days 00:02:02.101484,126,13,104,1.8307838145945312,COMPLETE
211,7.187499999999999,2023-06-19 22:55:18.903893,2023-06-19 22:57:28.087388,0 days 00:02:09.183495,135,14,106,1.8052697468965422,COMPLETE
212,7.28125,2023-06-19 22:55:20.599933,2023-06-19 22:57:27.738017,0 days 00:02:07.138084,133,0,106,1.8561752889394,COMPLETE
213,7.262499999999999,2023-06-19 22:55:22.149268,2023-06-19 22:57:25.924429,0 days 00:02:03.775161,134,0,105,1.6960384791763503,COMPLETE
214,7.25,2023-06-19 22:55:24.019160,2023-06-19 22:57:28.713642,0 days 00:02:04.694482,135,0,107,1.8235882416963274,COMPLETE
215,7.4937499999999995,2023-06-19 22:55:24.877381,2023-06-19 22:57:36.566549,0 days 00:02:11.689168,136,9,45,1.83771729529719,COMPLETE
216,7.262499999999999,2023-06-19 22:56:36.418930,2023-06-19 22:58:34.924766,0 days 00:01:58.505836,135,0,105,1.8211211784349606,COMPLETE
217,7.2875,2023-06-19 22:56:41.536843,2023-06-19 22:58:46.219732,0 days 00:02:04.682889,137,16,106,1.8589367601129676,COMPLETE
218,7.1499999999999995,2023-06-19 22:56:49.970467,2023-06-19 22:58:51.431104,0 days 00:02:01.460637,133,9,105,1.8010395539567492,COMPLETE
219,7.1625,2023-06-19 22:56:57.946604,2023-06-19 22:59:06.551006,0 days 00:02:08.604402,131,9,105,1.8361782289683946,COMPLETE
220,7.1499999999999995,2023-06-19 22:57:04.034487,2023-06-19 22:59:11.532099,0 days 00:02:07.497612,135,9,105,1.8031652024912723,COMPLETE
221,7.26875,2023-06-19 22:57:10.075992,2023-06-19 22:59:21.471837,0 days 00:02:11.395845,136,17,105,1.8225068016317398,COMPLETE
222,7.26875,2023-06-19 22:57:12.609813,2023-06-19 22:59:16.695906,0 days 00:02:04.086093,135,17,105,1.7626727907963338,COMPLETE
223,7.156249999999999,2023-06-19 22:57:26.603832,2023-06-19 22:59:39.632202,0 days 00:02:13.028370,132,16,105,1.7804157456018603,COMPLETE
224,7.34375,2023-06-19 22:57:28.110748,2023-06-19 22:59:40.729998,0 days 00:02:12.619250,141,17,101,1.7792323557731855,COMPLETE
225,7.21875,2023-06-19 22:57:30.308457,2023-06-19 22:59:46.070976,0 days 00:02:15.762519,138,17,98,1.8089951863478533,COMPLETE
226,7.325,2023-06-19 22:57:32.451451,2023-06-19 22:59:40.278283,0 days 00:02:07.826832,137,15,101,1.8035213853830143,COMPLETE
227,7.3,2023-06-19 22:57:37.766263,2023-06-19 22:59:50.719133,0 days 00:02:12.952870,142,17,100,1.745527777002623,COMPLETE
228,7.35,2023-06-19 22:58:37.796144,2023-06-19 23:00:49.877030,0 days 00:02:12.080886,146,24,98,1.7403107078450843,COMPLETE
229,7.0875,2023-06-19 22:58:46.672844,2023-06-19 23:00:50.510038,0 days 00:02:03.837194,123,10,102,1.7585770724160377,COMPLETE
230,7.275,2023-06-19 22:58:52.287474,2023-06-19 23:01:05.954948,0 days 00:02:13.667474,123,17,103,1.7352010975845242,COMPLETE
231,7.324999999999999,2023-06-19 22:59:07.221934,2023-06-19 23:01:11.304064,0 days 00:02:04.082130,124,17,100,1.7480427280981548,COMPLETE
232,7.28125,2023-06-19 22:59:13.430806,2023-06-19 23:01:18.539583,0 days 00:02:05.108777,144,16,99,1.7754368605014907,COMPLETE
233,7.375,2023-06-19 22:59:18.048528,2023-06-19 23:01:23.236021,0 days 00:02:05.187493,123,24,102,1.7504924084373366,COMPLETE
234,7.1625,2023-06-19 22:59:23.455079,2023-06-19 23:01:33.117811,0 days 00:02:09.662732,124,9,101,1.7156371323954938,COMPLETE
235,7.0687500000000005,2023-06-19 22:59:40.357241,2023-06-19 23:01:48.543519,0 days 00:02:08.186278,123,10,99,1.7022884192293197,COMPLETE
236,7.356249999999999,2023-06-19 22:59:40.702466,2023-06-19 23:01:49.246610,0 days 00:02:08.544144,123,24,99,1.7100350773981061,COMPLETE
237,7.0625,2023-06-19 22:59:42.126100,2023-06-19 23:01:44.487078,0 days 00:02:02.360978,121,10,98,1.6579041626854973,COMPLETE
238,7.35625,2023-06-19 22:59:47.153658,2023-06-19 23:01:53.213019,0 days 00:02:06.059361,125,21,98,1.6989572661548615,COMPLETE
239,7.40625,2023-06-19 22:59:50.960289,2023-06-19 23:02:00.742197,0 days 00:02:09.781908,125,22,102,1.6863246908675298,COMPLETE
240,7.35625,2023-06-19 23:00:52.531766,2023-06-19 23:03:04.367562,0 days 00:02:11.835796,124,20,99,1.6619768744532488,COMPLETE
241,8.53125,2023-06-19 23:00:54.004156,2023-06-19 23:03:01.071088,0 days 00:02:07.066932,313,20,99,1.6542067563964076,COMPLETE
242,7.0875,2023-06-19 23:01:07.071762,2023-06-19 23:03:19.089730,0 days 00:02:12.017968,123,11,102,1.5922102632702468,COMPLETE
243,7.0625,2023-06-19 23:01:11.587721,2023-06-19 23:03:16.289050,0 days 00:02:04.701329,123,10,98,1.6676668237298082,COMPLETE
244,7.18125,2023-06-19 23:01:19.131128,2023-06-19 23:03:23.195041,0 days 00:02:04.063913,120,11,102,1.6218477600268593,COMPLETE
245,8.29375,2023-06-19 23:01:23.904262,2023-06-19 23:03:23.388992,0 days 00:01:59.484730,310,10,103,1.6541403881269499,COMPLETE
246,8.212499999999999,2023-06-19 23:01:34.541533,2023-06-19 23:03:42.519311,0 days 00:02:07.977778,308,11,98,1.6024525795495417,COMPLETE
247,7.112500000000001,2023-06-19 23:01:45.442963,2023-06-19 23:03:49.949146,0 days 00:02:04.506183,124,10,99,1.67417122925584,COMPLETE
248,8.20625,2023-06-19 23:01:50.209802,2023-06-19 23:03:57.590361,0 days 00:02:07.380559,25,11,97,1.6229997610796008,COMPLETE
249,7.15625,2023-06-19 23:01:50.624143,2023-06-19 23:03:57.804493,0 days 00:02:07.180350,127,9,97,1.614715252970246,COMPLETE
250,7.3625,2023-06-19 23:01:53.890536,2023-06-19 23:03:55.961292,0 days 00:02:02.070756,148,11,91,1.617565686977891,COMPLETE
251,8.6375,2023-06-19 23:02:01.595601,2023-06-19 23:04:03.721920,0 days 00:02:02.126319,317,11,102,1.6257926566010756,COMPLETE
252,7.475,2023-06-19 23:03:03.431281,2023-06-19 23:05:08.810426,0 days 00:02:05.379145,90,11,103,1.6227788831097354,COMPLETE
253,7.824999999999999,2023-06-19 23:03:05.271001,2023-06-19 23:05:11.967394,0 days 00:02:06.696393,33,11,103,1.5669915385118893,COMPLETE
254,7.34375,2023-06-19 23:03:17.137307,2023-06-19 23:05:18.627183,0 days 00:02:01.489876,149,11,92,1.5928197527523598,COMPLETE
255,7.3625,2023-06-19 23:03:19.786739,2023-06-19 23:05:22.093036,0 days 00:02:02.306297,149,11,91,1.5971728392431148,COMPLETE
256,7.56875,2023-06-19 23:03:23.915307,2023-06-19 23:05:28.517932,0 days 00:02:04.602625,92,11,91,1.5849272159677326,COMPLETE
257,7.2875000000000005,2023-06-19 23:03:25.716202,2023-06-19 23:05:28.508007,0 days 00:02:02.791805,113,11,103,1.5788251935827289,COMPLETE
258,7.31875,2023-06-19 23:03:45.513794,2023-06-19 23:05:48.149832,0 days 00:02:02.636038,146,11,103,1.5578834879558856,COMPLETE
259,7.6625000000000005,2023-06-19 23:03:51.643013,2023-06-19 23:06:01.444387,0 days 00:02:09.801374,90,11,91,1.5136499664765313,COMPLETE
260,7.825,2023-06-19 23:03:56.743469,2023-06-19 23:06:01.565153,0 days 00:02:04.821684,38,11,102,1.6202985692930305,COMPLETE
261,7.39375,2023-06-19 23:03:58.468353,2023-06-19 23:06:03.741842,0 days 00:02:05.273489,91,10,103,1.5025800719039835,COMPLETE
262,7.28125,2023-06-19 23:03:58.592287,2023-06-19 23:06:01.643361,0 days 00:02:03.051074,113,9,103,1.5372548240769799,COMPLETE
263,7.393750000000001,2023-06-19 23:04:04.509258,2023-06-19 23:06:15.652106,0 days 00:02:11.142848,91,9,103,1.5405888385967819,COMPLETE
264,7.356249999999999,2023-06-19 23:05:11.457074,2023-06-19 23:07:13.334117,0 days 00:02:01.877043,113,9,93,1.5418752956554715,COMPLETE
265,7.2562500000000005,2023-06-19 23:05:13.524389,2023-06-19 23:07:16.841612,0 days 00:02:03.317223,115,9,104,1.550876820569848,COMPLETE
266,7.25,2023-06-19 23:05:19.661668,2023-06-19 23:07:28.715418,0 days 00:02:09.053750,115,9,96,1.5020612778129372,COMPLETE
267,7.356249999999999,2023-06-19 23:05:22.791749,2023-06-19 23:07:28.102779,0 days 00:02:05.311030,110,8,95,1.459397828808179,COMPLETE
268,7.6625,2023-06-19 23:05:29.189212,2023-06-19 23:07:33.793820,0 days 00:02:04.604608,113,8,96,1.3568006192965252,COMPLETE
269,7.25625,2023-06-19 23:05:31.298020,2023-06-19 23:07:37.320549,0 days 00:02:06.022529,114,8,96,1.4278429370264365,COMPLETE
270,7.25625,2023-06-19 23:05:48.604943,2023-06-19 23:07:50.550106,0 days 00:02:01.945163,114,8,96,1.4468106575252997,COMPLETE
271,7.1499999999999995,2023-06-19 23:06:02.703316,2023-06-19 23:08:03.479740,0 days 00:02:00.776424,128,8,96,1.449368153159732,COMPLETE
272,7.231249999999999,2023-06-19 23:06:03.907043,2023-06-19 23:08:11.643395,0 days 00:02:07.736352,129,8,95,1.4507450135904452,COMPLETE
273,8.35625,2023-06-19 23:06:04.929138,2023-06-19 23:07:58.534644,0 days 00:01:53.605506,385,8,50,1.4294496443542255,COMPLETE
274,7.1499999999999995,2023-06-19 23:06:05.857228,2023-06-19 23:08:12.977519,0 days 00:02:07.120291,129,8,96,1.8528860081846295,COMPLETE
275,7.7250000000000005,2023-06-19 23:06:16.468904,2023-06-19 23:08:18.810711,0 days 00:02:02.341807,130,7,106,1.4002381257492436,COMPLETE
276,7.1499999999999995,2023-06-19 23:07:16.130045,2023-06-19 23:09:14.787641,0 days 00:01:58.657596,129,7,96,1.4604106202968694,COMPLETE
277,7.637499999999999,2023-06-19 23:07:19.123925,2023-06-19 23:09:22.049522,0 days 00:02:02.925597,129,7,96,1.3826112502110608,COMPLETE
278,9.45625,2023-06-19 23:07:28.743435,2023-06-19 23:09:34.077391,0 days 00:02:05.333956,380,7,107,1.871868499733155,COMPLETE
279,7.09375,2023-06-19 23:07:31.085400,2023-06-19 23:09:38.664397,0 days 00:02:07.578997,129,14,100,1.8309340338390356,COMPLETE
280,7.4125000000000005,2023-06-19 23:07:34.418234,2023-06-19 23:09:32.855175,0 days 00:01:58.436941,132,14,51,1.864215003528481,COMPLETE
281,7.55625,2023-06-19 23:07:37.791170,2023-06-19 23:09:41.590529,0 days 00:02:03.799359,126,15,58,1.852648594103815,COMPLETE
282,7.1187499999999995,2023-06-19 23:07:51.760853,2023-06-19 23:10:00.800820,0 days 00:02:09.039967,129,15,107,1.8498055789933052,COMPLETE
283,7.66875,2023-06-19 23:07:58.877342,2023-06-19 23:09:53.324237,0 days 00:01:54.446895,129,112,107,1.8638150416781314,COMPLETE
284,7.7125,2023-06-19 23:08:04.344500,2023-06-19 23:10:14.388040,0 days 00:02:10.043540,130,113,100,1.8480769049373367,COMPLETE
285,7.0562499999999995,2023-06-19 23:08:12.142391,2023-06-19 23:10:18.575689,0 days 00:02:06.433298,128,14,107,1.8443812263438377,COMPLETE
286,7.09375,2023-06-19 23:08:13.765767,2023-06-19 23:10:18.252251,0 days 00:02:04.486484,128,14,100,1.83569124524407,COMPLETE
287,7.674999999999999,2023-06-19 23:08:20.793520,2023-06-19 23:10:27.000739,0 days 00:02:06.207219,271,59,99,1.8282102748744113,COMPLETE
288,7.7125,2023-06-19 23:09:15.642706,2023-06-19 23:11:20.487568,0 days 00:02:04.844862,128,113,100,1.692506127287098,COMPLETE
289,10.40625,2023-06-19 23:09:25.045155,2023-06-19 23:11:30.862135,0 days 00:02:05.816980,417,4,99,1.7036976341423948,COMPLETE
290,7.19375,2023-06-19 23:09:35.182627,2023-06-19 23:11:39.743912,0 days 00:02:04.561285,125,4,100,1.7287364315180915,COMPLETE
291,7.137499999999999,2023-06-19 23:09:36.361305,2023-06-19 23:11:37.389579,0 days 00:02:01.028274,123,4,100,1.7036203010117557,COMPLETE
292,7.19375,2023-06-19 23:09:39.758310,2023-06-19 23:11:39.574642,0 days 00:01:59.816332,126,4,100,1.7250009467372434,COMPLETE
293,7.19375,2023-06-19 23:09:41.881674,2023-06-19 23:11:45.997660,0 days 00:02:04.115986,125,4,100,1.7153654992552714,COMPLETE
294,7.25,2023-06-19 23:09:56.535792,2023-06-19 23:11:59.276813,0 days 00:02:02.741021,143,4,100,1.775272065232441,COMPLETE
295,7.25,2023-06-19 23:10:03.984264,2023-06-19 23:11:59.211550,0 days 00:01:55.227286,141,4,100,1.6912068306834083,COMPLETE
296,10.168750000000001,2023-06-19 23:10:15.716810,2023-06-19 23:12:04.428602,0 days 00:01:48.711792,409,5,100,1.726202732809336,COMPLETE
297,7.4125,2023-06-19 23:10:20.990855,2023-06-19 23:12:05.398918,0 days 00:01:44.408063,138,15,88,1.7396169919059354,COMPLETE
298,10.36875,2023-06-19 23:10:22.383850,2023-06-19 23:12:05.448136,0 days 00:01:43.064286,417,14,99,1.7054075455941609,COMPLETE
299,7.36875,2023-06-19 23:10:28.001211,2023-06-19 23:12:05.691593,0 days 00:01:37.690382,147,15,99,1.7210919513393619,COMPLETE
