number,value,datetime_start,datetime_complete,duration,params_frame_gap,state
0,0.4291427702044436,2023-06-19 16:39:47.185143,2023-06-19 16:42:22.457345,0 days 00:02:35.272202,55,COMPLETE
1,0.44717664389829836,2023-06-19 16:39:47.186723,2023-06-19 16:42:20.588101,0 days 00:02:33.401378,22,COMPLETE
2,0.37546032916876226,2023-06-19 16:39:47.188762,2023-06-19 16:42:23.432191,0 days 00:02:36.243429,4,COMPLETE
3,0.4336530405338258,2023-06-19 16:39:47.197063,2023-06-19 16:42:22.465084,0 days 00:02:35.268021,50,COMPLETE
4,0.5271912786564753,2023-06-19 16:39:47.202343,2023-06-19 16:42:37.037940,0 days 00:02:49.835597,-21,COMPLETE
5,0.44732983650040264,2023-06-19 16:39:47.208029,2023-06-19 16:42:35.427439,0 days 00:02:48.219410,-17,COMPLETE
6,0.4349104315277331,2023-06-19 16:39:47.210257,2023-06-19 16:42:22.450745,0 days 00:02:35.240488,43,COMPLETE
7,0.44455772322319376,2023-06-19 16:39:47.650221,2023-06-19 16:42:22.454181,0 days 00:02:34.803960,38,COMPLETE
8,0.4131399404907831,2023-06-19 16:39:47.669207,2023-06-19 16:42:22.471997,0 days 00:02:34.802790,65,COMPLETE
9,0.17617201805003102,2023-06-19 16:39:48.669722,2023-06-19 16:42:27.575496,0 days 00:02:38.905774,-5,COMPLETE
10,0.3861828984609006,2023-06-19 16:39:49.037086,2023-06-19 16:42:22.468694,0 days 00:02:33.431608,72,COMPLETE
11,0.23949109535269153,2023-06-19 16:39:49.098620,2023-06-19 16:42:26.390997,0 days 00:02:37.292377,-2,COMPLETE
12,0.4352587320067299,2023-06-19 16:42:20.622572,2023-06-19 16:44:50.776370,0 days 00:02:30.153798,51,COMPLETE
13,0.5076223111204283,2023-06-19 16:42:22.475095,2023-06-19 16:45:09.389105,0 days 00:02:46.914010,-20,COMPLETE
14,0.22540357559552568,2023-06-19 16:42:22.487265,2023-06-19 16:45:04.516401,0 days 00:02:42.029136,-10,COMPLETE
15,0.45381295605931815,2023-06-19 16:42:22.539344,2023-06-19 16:44:57.341630,0 days 00:02:34.802286,31,COMPLETE
16,0.42334244640733226,2023-06-19 16:42:23.474018,2023-06-19 16:44:52.328927,0 days 00:02:28.854909,57,COMPLETE
17,0.5076223111204283,2023-06-19 16:42:23.937072,2023-06-19 16:45:07.377186,0 days 00:02:43.440114,-20,COMPLETE
18,0.4514486382313349,2023-06-19 16:42:24.414270,2023-06-19 16:44:56.748802,0 days 00:02:32.334532,24,COMPLETE
19,0.3804412496235387,2023-06-19 16:42:24.863667,2023-06-19 16:44:52.923105,0 days 00:02:28.059438,75,COMPLETE
20,0.4563955510720801,2023-06-19 16:42:26.412045,2023-06-19 16:44:54.701847,0 days 00:02:28.289802,26,COMPLETE
21,0.545405903830054,2023-06-19 16:42:27.611929,2023-06-19 16:45:11.843728,0 days 00:02:44.231799,-22,COMPLETE
22,0.6020820730847549,2023-06-19 16:42:35.459172,2023-06-19 16:45:27.256478,0 days 00:02:51.797306,-25,COMPLETE
23,0.3199698485570698,2023-06-19 16:42:37.073096,2023-06-19 16:45:15.093425,0 days 00:02:38.020329,1,COMPLETE
24,0.3199698485570698,2023-06-19 16:44:50.794408,2023-06-19 16:47:41.152650,0 days 00:02:50.358242,1,COMPLETE
25,0.2599639554765386,2023-06-19 16:44:52.366030,2023-06-19 16:47:41.630674,0 days 00:02:49.264644,-1,COMPLETE
26,0.2975030852475481,2023-06-19 16:44:53.368302,2023-06-19 16:47:43.180294,0 days 00:02:49.811992,0,COMPLETE
27,0.23949109535269153,2023-06-19 16:44:54.749423,2023-06-19 16:47:40.216010,0 days 00:02:45.466587,-2,COMPLETE
28,0.23949109535269153,2023-06-19 16:44:56.773420,2023-06-19 16:47:46.103259,0 days 00:02:49.329839,-2,COMPLETE
29,0.23949109535269153,2023-06-19 16:44:57.387840,2023-06-19 16:47:47.058964,0 days 00:02:49.671124,-2,COMPLETE
30,0.3983569785227464,2023-06-19 16:45:04.561553,2023-06-19 16:47:49.711859,0 days 00:02:45.150306,6,COMPLETE
31,0.413504125929947,2023-06-19 16:45:07.400029,2023-06-19 16:47:52.377365,0 days 00:02:44.977336,7,COMPLETE
32,0.2030868502336994,2023-06-19 16:45:09.438348,2023-06-19 16:48:00.156921,0 days 00:02:50.718573,-4,COMPLETE
33,0.2599639554765386,2023-06-19 16:45:11.877340,2023-06-19 16:47:58.107192,0 days 00:02:46.229852,-1,COMPLETE
34,0.17617201805003102,2023-06-19 16:45:15.501238,2023-06-19 16:48:03.603447,0 days 00:02:48.102209,-5,COMPLETE
35,0.17617201805003102,2023-06-19 16:45:27.294015,2023-06-19 16:48:15.554601,0 days 00:02:48.260586,-5,COMPLETE
36,0.180252003148473,2023-06-19 16:47:40.255394,2023-06-19 16:50:15.640783,0 days 00:02:35.385389,-8,COMPLETE
37,0.448813037977608,2023-06-19 16:47:41.538858,2023-06-19 16:50:12.901468,0 days 00:02:31.362610,15,COMPLETE
38,0.42646565469452,2023-06-19 16:47:41.652479,2023-06-19 16:50:13.869407,0 days 00:02:32.216928,11,COMPLETE
39,0.26367406567334906,2023-06-19 16:47:43.231490,2023-06-19 16:50:18.112307,0 days 00:02:34.880817,-11,COMPLETE
40,0.22540357559552568,2023-06-19 16:47:46.132806,2023-06-19 16:50:21.820248,0 days 00:02:35.687442,-10,COMPLETE
41,0.26367406567334906,2023-06-19 16:47:47.098538,2023-06-19 16:50:24.935580,0 days 00:02:37.837042,-11,COMPLETE
42,0.26367406567334906,2023-06-19 16:47:49.764367,2023-06-19 16:50:25.235996,0 days 00:02:35.471629,-11,COMPLETE
43,0.2028947389657911,2023-06-19 16:47:52.431597,2023-06-19 16:50:25.130255,0 days 00:02:32.698658,-9,COMPLETE
44,0.26367406567334906,2023-06-19 16:47:58.151815,2023-06-19 16:50:28.159674,0 days 00:02:30.007859,-11,COMPLETE
45,0.26367406567334906,2023-06-19 16:48:00.196036,2023-06-19 16:50:29.472995,0 days 00:02:29.276959,-11,COMPLETE
46,0.26367406567334906,2023-06-19 16:48:03.642062,2023-06-19 16:50:30.336322,0 days 00:02:26.694260,-11,COMPLETE
47,0.4445785655230968,2023-06-19 16:48:15.607475,2023-06-19 16:50:31.075036,0 days 00:02:15.467561,14,COMPLETE
48,0.22540357559552568,2023-06-19 16:50:12.929754,2023-06-19 16:50:49.989847,0 days 00:00:37.060093,-10,COMPLETE
49,0.2744615836644855,2023-06-19 16:50:13.907273,2023-06-19 16:50:49.179827,0 days 00:00:35.272554,-12,COMPLETE
